date,price,volume
2014-05-06 00:00:00:000,84.9156,22097600
2014-05-07 00:00:00:000,84.6185,16258600
2014-05-08 00:00:00:000,84.0171,14389600
2014-05-09 00:00:00:000,83.6499,17305000
2014-05-10 00:00:00:000,83.6499,0
2014-05-11 00:00:00:000,83.6499,0
2014-05-12 00:00:00:000,84.6899,14796200
2014-05-13 00:00:00:000,84.8228,11405600
2014-05-14 00:00:00:000,84.8385,10634700
2014-05-15 00:00:00:000,84.1171,14964500
2014-05-16 00:00:00:000,85.3585,20303100
2014-05-17 00:00:00:000,85.3585,0
2014-05-18 00:00:00:000,85.3585,0
2014-05-19 00:00:00:000,86.3699,20812400
2014-05-20 00:00:00:000,86.3642,13513000
2014-05-21 00:00:00:000,86.6156,12486300
2014-05-22 00:00:00:000,86.7571,11108700
2014-05-23 00:00:00:000,87.7328,15129700
2014-05-24 00:00:00:000,87.7328,0
2014-05-25 00:00:00:000,87.7328,0
2014-05-26 00:00:00:000,87.7328,0
2014-05-27 00:00:00:000,89.3871,21715700
2014-05-28 00:00:00:000,89.1442,19745500
2014-05-29 00:00:00:000,90.7685,18170200
2014-05-30 00:00:00:000,90.4285,29053000
2014-05-31 00:00:00:000,90.4285,0
2014-06-01 00:00:00:000,90.4285,0
2014-06-02 00:00:00:000,89.8071,22368300
2014-06-03 00:00:00:000,91.077,19091400
2014-06-04 00:00:00:000,92.1171,19595600
2014-06-05 00:00:00:000,92.4785,17771900
2014-06-06 00:00:00:000,92.2242,25073900
2014-06-07 00:00:00:000,92.2242,0
2014-06-08 00:00:00:000,92.2242,0
2014-06-09 00:00:00:000,93.7,15444700
2014-06-10 00:00:00:000,94.25,13372100
2014-06-11 00:00:00:000,93.86,10692900
2014-06-12 00:00:00:000,92.26,11079500
2014-06-13 00:00:00:000,91.28,13295600
2014-06-14 00:00:00:000,91.28,0
2014-06-15 00:00:00:000,91.28,0
2014-06-16 00:00:00:000,92.2,7896600
2014-06-17 00:00:00:000,92.08,6931060
2014-06-18 00:00:00:000,92.18,7649320
2014-06-19 00:00:00:000,91.86,9350530
2014-06-20 00:00:00:000,90.91,45779300
2014-06-21 00:00:00:000,90.91,0
2014-06-22 00:00:00:000,90.91,0
2014-06-23 00:00:00:000,90.83,13511600
2014-06-24 00:00:00:000,90.28,8415990
2014-06-25 00:00:00:000,90.36,8556810
2014-06-26 00:00:00:000,90.9,6724650
2014-06-27 00:00:00:000,91.98,12480400
2014-06-28 00:00:00:000,91.98,0
2014-06-29 00:00:00:000,91.98,0
2014-06-30 00:00:00:000,92.93,10843100
2014-07-01 00:00:00:000,93.52,8347450
2014-07-02 00:00:00:000,93.48,6469220
2014-07-03 00:00:00:000,94.1,7013300
2014-07-04 00:00:00:000,94.1,0
2014-07-05 00:00:00:000,94.1,0
2014-07-06 00:00:00:000,94.1,0
2014-07-07 00:00:00:000,95.97,12496600
2014-07-08 00:00:00:000,95.32,13682300
2014-07-09 00:00:00:000,95.39,9568040
2014-07-10 00:00:00:000,95.035,8542970
2014-07-11 00:00:00:000,95.23,8646170
2014-07-12 00:00:00:000,95.23,0
2014-07-13 00:00:00:000,95.23,0
2014-07-14 00:00:00:000,96.45,9541030
2014-07-15 00:00:00:000,95.32,11090000
2014-07-16 00:00:00:000,94.78,12160100
2014-07-17 00:00:00:000,93.08,12968500
2014-07-18 00:00:00:000,94.43,18164200
2014-07-19 00:00:00:000,94.43,0
2014-07-20 00:00:00:000,94.43,0
2014-07-21 00:00:00:000,93.95,9010590
2014-07-22 00:00:00:000,94.72,11482500
2014-07-23 00:00:00:000,97.19,19939000
2014-07-24 00:00:00:000,97.03,12527800
2014-07-25 00:00:00:000,97.69,11927600
2014-07-26 00:00:00:000,97.69,0
2014-07-27 00:00:00:000,97.69,0
2014-07-28 00:00:00:000,99.02,12740100
2014-07-29 00:00:00:000,98.38,9755230
2014-07-30 00:00:00:000,98.13,7833840
2014-07-31 00:00:00:000,95.57,13488500
