category,group,val,units
Best Buy,capex,30.3,Million
Best Buy,repo,31.2,Million
Best Buy,ma,12.0,Million
Best Buy,dividends,8.8,Million
Best Buy,cash,16.3,Million
Best Buy,debt,1.5,Million
Retail Industry,capex,26.4,Billion
Retail Industry,repo,24.2,Billion
Retail Industry,ma,37.4,Billion
Retail Industry,dividends,10,Billion
Retail Industry,cash,1.9,Billion
Retail Industry,debt,0.1,Billion
Market,capex,37.1,Billion
Market,repo,25.4,Billion
Market,ma,17.4,Billion
Market,dividends,15.8,Billion
Market,cash,4.1,Billion
Market,debt,0.1,Billion
