rawdate,adj_closep,tmean,posdiff,negdiff
2014-04-01 00:00:00:000,194.5,192.5,0,-2
2014-04-02 00:00:00:000,193.55,192.5,0,-1.05
2014-04-03 00:00:00:000,192.69,192.5,0,-0.190002
2014-04-04 00:00:00:000,191.77,192.5,0.729996,0
2014-04-05 00:00:00:000,191.77,192.5,0.729996,0
2014-04-06 00:00:00:000,191.77,192.5,0.729996,0
2014-04-07 00:00:00:000,194.52,192.5,0,-2.02
2014-04-08 00:00:00:000,193.29,192.5,0,-0.789993
2014-04-09 00:00:00:000,196.64,192.5,0,-4.14
2014-04-10 00:00:00:000,195.68,192.5,0,-3.17999
2014-04-11 00:00:00:000,195.19,192.5,0,-2.69
2014-04-12 00:00:00:000,195.19,192.5,0,-2.69
2014-04-13 00:00:00:000,195.19,192.5,0,-2.69
2014-04-14 00:00:00:000,197.77,192.5,0,-5.27
2014-04-15 00:00:00:000,197.02,192.5,0,-4.52
2014-04-16 00:00:00:000,196.4,192.5,0,-3.89999
2014-04-17 00:00:00:000,190.01,193.714,3.70401,0
2014-04-18 00:00:00:000,190.01,193.714,3.70401,0
2014-04-19 00:00:00:000,190.01,193.714,3.70401,0
2014-04-20 00:00:00:000,190.01,193.714,3.70401,0
2014-04-21 00:00:00:000,192.27,193.714,1.444,0
2014-04-22 00:00:00:000,192.15,193.714,1.56401,0
2014-04-23 00:00:00:000,191.73,193.714,1.98401,0
2014-04-24 00:00:00:000,190.22,193.714,3.494,0
2014-04-25 00:00:00:000,189.63,193.714,4.084,0
2014-04-26 00:00:00:000,189.63,193.714,4.084,0
2014-04-27 00:00:00:000,189.63,193.714,4.084,0
2014-04-28 00:00:00:000,193.14,193.714,0.574005,0
2014-04-29 00:00:00:000,195.11,193.714,0,-1.396
2014-04-30 00:00:00:000,196.47,193.714,0,-2.756
2014-05-01 00:00:00:000,193.53,193.714,0.184006,0
2014-05-02 00:00:00:000,191.44,193.714,2.274,0
2014-05-03 00:00:00:000,191.44,193.714,2.274,0
2014-05-04 00:00:00:000,191.44,193.714,2.274,0
2014-05-05 00:00:00:000,191.26,193.714,2.45401,0
2014-05-06 00:00:00:000,190.03,193.714,3.68401,0
2014-05-07 00:00:00:000,189.3,193.714,4.414,0
2014-05-08 00:00:00:000,188.91,193.714,4.804,0
2014-05-09 00:00:00:000,190.08,193.714,3.634,0
2014-05-10 00:00:00:000,190.08,193.714,3.634,0
2014-05-11 00:00:00:000,190.08,193.714,3.634,0
2014-05-12 00:00:00:000,192.57,193.714,1.144,0
2014-05-13 00:00:00:000,192.19,193.714,1.524,0
2014-05-14 00:00:00:000,188.72,193.714,4.994,0
2014-05-15 00:00:00:000,186.46,194.476,8.01599,0
2014-05-16 00:00:00:000,187.06,194.476,7.416,0
2014-05-17 00:00:00:000,187.06,194.476,7.416,0
2014-05-18 00:00:00:000,187.06,194.476,7.416,0
2014-05-19 00:00:00:000,187,194.476,7.476,0
2014-05-20 00:00:00:000,184.89,194.476,9.586,0
2014-05-21 00:00:00:000,186.39,194.476,8.086,0
2014-05-22 00:00:00:000,185.68,194.476,8.79601,0
2014-05-23 00:00:00:000,185.94,194.476,8.536,0
2014-05-24 00:00:00:000,185.94,194.476,8.536,0
2014-05-25 00:00:00:000,185.94,194.476,8.536,0
2014-05-26 00:00:00:000,185.94,194.476,8.536,0
2014-05-27 00:00:00:000,184.78,194.476,9.696,0
2014-05-28 00:00:00:000,183.08,194.476,11.396,0
2014-05-29 00:00:00:000,183.76,194.476,10.716,0
2014-05-30 00:00:00:000,184.36,194.476,10.116,0
2014-05-31 00:00:00:000,184.36,194.476,10.116,0
2014-06-01 00:00:00:000,184.36,194.476,10.116,0
2014-06-02 00:00:00:000,185.69,194.476,8.786,0
2014-06-03 00:00:00:000,184.37,194.476,10.106,0
2014-06-04 00:00:00:000,184.51,194.476,9.966,0
2014-06-05 00:00:00:000,185.98,194.476,8.496,0
2014-06-06 00:00:00:000,186.37,194.476,8.106,0
2014-06-07 00:00:00:000,186.37,194.476,8.106,0
2014-06-08 00:00:00:000,186.37,194.476,8.106,0
2014-06-09 00:00:00:000,186.22,194.476,8.256,0
2014-06-10 00:00:00:000,184.29,194.476,10.186,0
2014-06-11 00:00:00:000,182.25,194.476,12.226,0
2014-06-12 00:00:00:000,181.22,194.476,13.256,0
2014-06-13 00:00:00:000,182.56,194.476,11.916,0
2014-06-14 00:00:00:000,182.56,194.476,11.916,0
2014-06-15 00:00:00:000,182.56,194.476,11.916,0
2014-06-16 00:00:00:000,182.35,194.476,12.126,0
2014-06-17 00:00:00:000,182.26,194.476,12.216,0
2014-06-18 00:00:00:000,183.6,194.476,10.876,0
2014-06-19 00:00:00:000,182.82,195.474,12.654,0
2014-06-20 00:00:00:000,181.55,195.474,13.924,0
2014-06-21 00:00:00:000,181.55,195.474,13.924,0
2014-06-22 00:00:00:000,181.55,195.474,13.924,0
2014-06-23 00:00:00:000,182.14,195.474,13.334,0
2014-06-24 00:00:00:000,180.88,195.474,14.594,0
2014-06-25 00:00:00:000,180.72,195.474,14.754,0
2014-06-26 00:00:00:000,180.37,195.474,15.104,0
