date,price,volume
2014-05-06 00:00:00:000,190.03,3188710
2014-05-07 00:00:00:000,189.3,3821020
2014-05-08 00:00:00:000,188.91,2431940
2014-05-09 00:00:00:000,190.08,2261740
2014-05-10 00:00:00:000,190.08,0
2014-05-11 00:00:00:000,190.08,0
2014-05-12 00:00:00:000,192.57,3778610
2014-05-13 00:00:00:000,192.19,2227000
2014-05-14 00:00:00:000,188.72,5255970
2014-05-15 00:00:00:000,186.46,4202560
2014-05-16 00:00:00:000,187.06,3949640
2014-05-17 00:00:00:000,187.06,0
2014-05-18 00:00:00:000,187.06,0
2014-05-19 00:00:00:000,187,3270670
2014-05-20 00:00:00:000,184.89,3032900
2014-05-21 00:00:00:000,186.39,2988350
2014-05-22 00:00:00:000,185.68,2218150
2014-05-23 00:00:00:000,185.94,2563420
2014-05-24 00:00:00:000,185.94,0
2014-05-25 00:00:00:000,185.94,0
2014-05-26 00:00:00:000,185.94,0
2014-05-27 00:00:00:000,184.78,4794500
2014-05-28 00:00:00:000,183.08,3724120
2014-05-29 00:00:00:000,183.76,2759980
2014-05-30 00:00:00:000,184.36,4620210
2014-05-31 00:00:00:000,184.36,0
2014-06-01 00:00:00:000,184.36,0
2014-06-02 00:00:00:000,185.69,3204030
2014-06-03 00:00:00:000,184.37,2517120
2014-06-04 00:00:00:000,184.51,2376980
2014-06-05 00:00:00:000,185.98,2861970
2014-06-06 00:00:00:000,186.37,3296900
2014-06-07 00:00:00:000,186.37,0
2014-06-08 00:00:00:000,186.37,0
2014-06-09 00:00:00:000,186.22,2728400
2014-06-10 00:00:00:000,184.29,4157060
2014-06-11 00:00:00:000,182.25,4065310
2014-06-12 00:00:00:000,181.22,4425490
2014-06-13 00:00:00:000,182.56,2778980
2014-06-14 00:00:00:000,182.56,0
2014-06-15 00:00:00:000,182.56,0
2014-06-16 00:00:00:000,182.35,3556220
2014-06-17 00:00:00:000,182.26,2460860
2014-06-18 00:00:00:000,183.6,3935650
2014-06-19 00:00:00:000,182.82,3551280
2014-06-20 00:00:00:000,181.55,10686800
2014-06-21 00:00:00:000,181.55,0
2014-06-22 00:00:00:000,181.55,0
2014-06-23 00:00:00:000,182.14,3231700
2014-06-24 00:00:00:000,180.88,3875450
2014-06-25 00:00:00:000,180.72,2763020
2014-06-26 00:00:00:000,180.37,3258470
2014-06-27 00:00:00:000,181.71,4575680
2014-06-28 00:00:00:000,181.71,0
2014-06-29 00:00:00:000,181.71,0
2014-06-30 00:00:00:000,181.27,4228840
2014-07-01 00:00:00:000,186.35,6644360
2014-07-02 00:00:00:000,188.39,5097200
2014-07-03 00:00:00:000,188.53,2422360
2014-07-04 00:00:00:000,188.53,0
2014-07-05 00:00:00:000,188.53,0
2014-07-06 00:00:00:000,188.53,0
2014-07-07 00:00:00:000,188.04,2958950
2014-07-08 00:00:00:000,187.22,3135120
