date,price,volume
2014-05-06 00:00:00:000,190.03,3188710
2014-05-13 00:00:00:000,192.19,2227000
2014-05-14 00:00:00:000,188.72,5255970
2014-05-15 00:00:00:000,186.46,4202560
2014-05-27 00:00:00:000,184.78,4794500
2014-06-05 00:00:00:000,170.98,2861970
2014-06-06 00:00:00:000,186.37,3296900
2014-06-07 00:00:00:000,186.37,0
2014-06-08 00:00:00:000,186.37,0
2014-06-09 00:00:00:000,186.22,2728400
2014-06-10 00:00:00:000,184.29,4157060
2014-06-11 00:00:00:000,182.25,4065310
2014-06-12 00:00:00:000,181.22,4425490
2014-06-13 00:00:00:000,182.56,2778980
2014-06-14 00:00:00:000,182.56,0
2014-06-15 00:00:00:000,182.56,0
2014-06-16 00:00:00:000,182.35,3556220
2014-06-17 00:00:00:000,182.26,2460860
2014-06-18 00:00:00:000,183.6,3935650
2014-06-19 00:00:00:000,182.82,3551280
2014-07-08 00:00:00:000,187.22,3135120
2014-07-09 00:00:00:000,188.42,3309560
2014-07-10 00:00:00:000,187.7,3177820
2014-07-11 00:00:00:000,188,2403840
2014-07-12 00:00:00:000,188,0
2014-07-13 00:00:00:000,188,0
2014-07-14 00:00:00:000,189.86,4502200
2014-07-15 00:00:00:000,188.49,4873450
2014-07-16 00:00:00:000,192.36,7815650
2014-07-17 00:00:00:000,192.49,8872270
2014-07-18 00:00:00:000,192.5,8169320
2014-07-19 00:00:00:000,192.5,0
2014-07-20 00:00:00:000,192.5,0
2014-07-21 00:00:00:000,190.85,4154740
2014-07-22 00:00:00:000,194.09,4853040
2014-07-23 00:00:00:000,193.63,3584460
2014-07-24 00:00:00:000,195.24,3612660
2014-07-25 00:00:00:000,194.4,3376460
2014-07-26 00:00:00:000,194.4,0
2014-07-27 00:00:00:000,194.4,0
2014-07-28 00:00:00:000,195.78,3242440
2014-07-29 00:00:00:000,194.57,3264410
2014-07-30 00:00:00:000,194,3945600
2014-07-31 00:00:00:000,191.67,4208000
2014-08-18 00:00:00:000,189.36,2420400
2014-08-19 00:00:00:000,190.07,2040120
2014-08-20 00:00:00:000,190.1,2177700
2014-08-21 00:00:00:000,191.23,2497980
2014-08-22 00:00:00:000,190.41,1940430
2014-08-23 00:00:00:000,190.41,0
2014-08-24 00:00:00:000,190.41,0
2014-08-25 00:00:00:000,191.16,1726100
2014-08-26 00:00:00:000,192.99,3175400
2014-08-27 00:00:00:000,192.25,2190280
2014-08-28 00:00:00:000,192,1503580
2014-08-29 00:00:00:000,192.3,2911100
2014-08-30 00:00:00:000,192.3,0
2014-08-31 00:00:00:000,192.3,0
2014-09-01 00:00:00:000,192.3,0
2014-09-02 00:00:00:000,191.56,2679660
2014-09-03 00:00:00:000,191.95,1824380
2014-09-04 00:00:00:000,190.68,2868750
2014-09-05 00:00:00:000,191.2,2261220
2014-09-06 00:00:00:000,191.2,0
2014-09-07 00:00:00:000,191.2,0
2014-09-08 00:00:00:000,190.14,2525630
2014-09-09 00:00:00:000,189.99,2403630
2014-09-10 00:00:00:000,191.54,2765320
2014-09-11 00:00:00:000,191.72,2299390
2014-09-12 00:00:00:000,191.28,2900970
2014-09-13 00:00:00:000,191.28,0
2014-09-14 00:00:00:000,191.28,0
2014-09-15 00:00:00:000,191.81,2457800
2014-09-16 00:00:00:000,192.96,2561530
2014-09-17 00:00:00:000,192.8,3214120
2014-09-18 00:00:00:000,193.75,2963450
2014-09-19 00:00:00:000,194,8854510
